354, 35776
0, 6, 1
0, 10, 1
0, 23, 1
0, 27, 1
0, 49, 1
0, 52, 1
0, 53, 1
0, 56, 1
0, 58, 1
0, 60, 1
0, 62, 1
0, 66, 1
0, 74, 1
0, 83, 1
0, 103, 1
0, 108, 1
0, 109, 1
0, 141, 1
0, 154, 1
0, 158, 1
0, 160, 1
0, 168, 1
0, 172, 1
0, 175, 1
0, 188, 1
0, 193, 1
0, 199, 1
0, 208, 1
0, 232, 1
0, 253, 1
0, 266, 1
0, 274, 1
0, 286, 1
0, 301, 1
0, 302, 1
0, 308, 1
0, 309, 1
0, 311, 1
0, 313, 1
1, 9, 1
1, 12, 1
1, 13, 1
1, 17, 1
1, 18, 1
1, 30, 1
1, 33, 1
1, 39, 1
1, 41, 1
1, 50, 1
1, 55, 1
1, 57, 1
1, 59, 1
1, 65, 1
1, 70, 1
1, 71, 1
1, 83, 1
1, 85, 1
1, 90, 1
1, 94, 1
1, 96, 1
1, 101, 1
1, 107, 1
1, 112, 1
1, 116, 1
1, 117, 1
1, 118, 1
1, 119, 1
1, 120, 1
1, 135, 1
1, 138, 1
1, 148, 1
1, 156, 1
1, 167, 1
1, 170, 1
1, 171, 1
1, 180, 1
1, 186, 1
1, 191, 1
1, 192, 1
1, 196, 1
1, 202, 1
1, 205, 1
1, 210, 1
1, 217, 1
1, 219, 1
1, 220, 1
1, 226, 1
1, 239, 1
1, 241, 1
1, 244, 1
1, 245, 1
1, 250, 1
1, 257, 1
1, 266, 1
1, 267, 1
1, 270, 1
1, 272, 1
1, 278, 1
1, 283, 1
1, 284, 1
1, 296, 1
1, 297, 1
1, 299, 1
1, 300, 1
1, 303, 1
1, 311, 1
1, 313, 1
2, 10, 1
2, 24, 1
2, 27, 1
2, 52, 1
2, 53, 1
2, 56, 1
2, 58, 1
2, 60, 1
2, 62, 1
2, 66, 1
2, 74, 1
2, 83, 1
2, 88, 1
2, 103, 1
2, 108, 1
2, 109, 1
2, 141, 1
2, 154, 1
2, 158, 1
2, 160, 1
2, 168, 1
2, 172, 1
2, 188, 1
2, 193, 1
2, 199, 1
2, 208, 1
2, 253, 1
2, 264, 1
2, 266, 1
2, 274, 1
2, 275, 1
2, 286, 1
2, 293, 1
2, 301, 1
2, 302, 1
2, 308, 1
2, 311, 1
2, 313, 1
3, 1, 1
3, 7, 1
3, 9, 1
3, 12, 1
3, 17, 1
3, 18, 1
3, 30, 1
3, 33, 1
3, 39, 1
3, 41, 1
3, 50, 1
3, 55, 1
3, 59, 1
3, 65, 1
3, 70, 1
3, 71, 1
3, 83, 1
3, 85, 1
3, 90, 1
3, 94, 1
3, 96, 1
3, 101, 1
3, 111, 1
3, 112, 1
3, 116, 1
3, 118, 1
3, 119, 1
3, 123, 1
3, 135, 1
3, 138, 1
3, 139, 1
3, 148, 1
3, 156, 1
3, 167, 1
3, 170, 1
3, 171, 1
3, 180, 1
3, 185, 1
3, 186, 1
3, 191, 1
3, 202, 1
3, 205, 1
3, 210, 1
3, 217, 1
3, 219, 1
3, 220, 1
3, 222, 1
3, 226, 1
3, 239, 1
3, 241, 1
3, 244, 1
3, 245, 1
3, 250, 1
3, 257, 1
3, 266, 1
3, 267, 1
3, 272, 1
3, 278, 1
3, 283, 1
3, 284, 1
3, 296, 1
3, 297, 1
3, 299, 1
3, 300, 1
3, 303, 1
3, 311, 1
3, 313, 1
4, 7, 1
4, 9, 1
4, 12, 1
4, 17, 1
4, 18, 1
4, 30, 1
4, 33, 1
4, 39, 1
4, 41, 1
4, 50, 1
4, 59, 1
4, 65, 1
4, 70, 1
4, 71, 1
4, 83, 1
4, 85, 1
4, 96, 1
4, 101, 1
4, 112, 1
4, 116, 1
4, 117, 1
4, 118, 1
4, 119, 1
4, 120, 1
4, 123, 1
4, 135, 1
4, 138, 1
4, 139, 1
4, 148, 1
4, 156, 1
4, 167, 1
4, 171, 1
4, 180, 1
4, 186, 1
4, 190, 1
4, 191, 1
4, 192, 1
