382, 38639
0, 30, 1
0, 37, 1
0, 57, 1
0, 61, 1
0, 64, 1
0, 66, 1
0, 68, 1
0, 70, 1
0, 86, 1
0, 100, 1
0, 102, 1
0, 103, 1
0, 105, 1
0, 106, 1
0, 109, 1
0, 112, 1
0, 122, 1
0, 124, 1
0, 134, 1
0, 139, 1
0, 144, 1
0, 151, 1
0, 165, 1
0, 167, 1
0, 180, 1
0, 183, 1
0, 193, 1
0, 194, 1
0, 195, 1
0, 198, 1
0, 208, 1
0, 216, 1
0, 217, 1
0, 222, 1
0, 225, 1
0, 229, 1
0, 232, 1
0, 238, 1
0, 244, 1
0, 247, 1
0, 253, 1
0, 254, 1
0, 256, 1
0, 258, 1
0, 261, 1
0, 262, 1
0, 270, 1
0, 274, 1
0, 276, 1
0, 282, 1
0, 294, 1
0, 300, 1
0, 302, 1
0, 307, 1
0, 318, 1
0, 324, 1
0, 326, 1
1, 14, 1
1, 30, 1
1, 37, 1
1, 45, 1
1, 46, 1
1, 47, 1
1, 57, 1
1, 64, 1
1, 68, 1
1, 70, 1
1, 89, 1
1, 100, 1
1, 103, 1
1, 105, 1
1, 106, 1
1, 109, 1
1, 124, 1
1, 139, 1
1, 144, 1
1, 151, 1
1, 165, 1
1, 171, 1
1, 180, 1
1, 183, 1
1, 184, 1
1, 193, 1
1, 194, 1
1, 195, 1
1, 198, 1
1, 208, 1
1, 216, 1
1, 217, 1
1, 222, 1
1, 224, 1
1, 225, 1
1, 229, 1
1, 232, 1
1, 238, 1
1, 243, 1
1, 244, 1
1, 247, 1
1, 249, 1
1, 254, 1
1, 256, 1
1, 261, 1
1, 262, 1
1, 270, 1
1, 274, 1
1, 282, 1
1, 291, 1
1, 294, 1
1, 300, 1
1, 302, 1
1, 304, 1
1, 305, 1
1, 307, 1
1, 311, 1
1, 318, 1
1, 324, 1
1, 326, 1
2, 6, 1
2, 19, 1
2, 23, 1
2, 59, 1
2, 68, 1
2, 73, 1
2, 77, 1
2, 81, 1
2, 84, 1
2, 96, 1
2, 97, 1
2, 98, 1
2, 115, 1
2, 128, 1
2, 141, 1
2, 142, 1
2, 159, 1
2, 163, 1
2, 166, 1
2, 176, 1
2, 177, 1
2, 186, 1
2, 191, 1
2, 204, 1
2, 215, 1
2, 220, 1
2, 223, 1
2, 224, 1
2, 227, 1
2, 240, 1
2, 250, 1
2, 271, 1
2, 276, 1
2, 279, 1
2, 288, 1
2, 289, 1
2, 290, 1
2, 298, 1
2, 313, 1
2, 318, 1
2, 320, 1
3, 19, 1
3, 23, 1
3, 47, 1
3, 59, 1
3, 62, 1
3, 68, 1
3, 73, 1
3, 77, 1
3, 81, 1
3, 96, 1
3, 97, 1
3, 98, 1
3, 115, 1
3, 128, 1
3, 138, 1
3, 141, 1
3, 142, 1
3, 159, 1
3, 163, 1
