363, 38050
0, 2, 1
0, 4, 1
0, 7, 1
0, 9, 1
0, 25, 1
0, 29, 1
0, 30, 1
0, 39, 1
0, 45, 1
0, 58, 1
0, 61, 1
0, 75, 1
0, 76, 1
0, 85, 1
0, 86, 1
0, 87, 1
0, 102, 1
0, 104, 1
0, 107, 1
0, 116, 1
0, 124, 1
0, 127, 1
0, 131, 1
0, 134, 1
0, 136, 1
0, 145, 1
0, 155, 1
0, 176, 1
0, 193, 1
0, 194, 1
0, 209, 1
0, 212, 1
0, 214, 1
0, 220, 1
0, 230, 1
0, 232, 1
0, 235, 1
0, 244, 1
0, 245, 1
0, 250, 1
0, 277, 1
0, 282, 1
0, 284, 1
0, 290, 1
0, 291, 1
0, 296, 1
0, 331, 1
1, 3, 1
1, 5, 1
1, 18, 1
1, 21, 1
1, 28, 1
1, 37, 1
1, 48, 1
1, 50, 1
1, 52, 1
1, 53, 1
1, 56, 1
1, 63, 1
1, 66, 1
1, 70, 1
1, 73, 1
1, 78, 1
1, 79, 1
1, 88, 1
1, 93, 1
1, 111, 1
1, 113, 1
1, 119, 1
1, 122, 1
1, 129, 1
1, 137, 1
1, 139, 1
1, 141, 1
1, 147, 1
1, 152, 1
1, 160, 1
1, 171, 1
1, 194, 1
1, 195, 1
1, 198, 1
1, 205, 1
1, 211, 1
1, 217, 1
1, 221, 1
1, 223, 1
1, 231, 1
1, 238, 1
1, 241, 1
1, 248, 1
1, 253, 1
1, 256, 1
1, 257, 1
1, 261, 1
1, 270, 1
1, 274, 1
1, 286, 1
1, 292, 1
1, 293, 1
1, 298, 1
1, 306, 1
1, 313, 1
1, 315, 1
1, 316, 1
1, 326, 1
1, 330, 1
2, 5, 1
2, 21, 1
2, 29, 1
2, 37, 1
2, 48, 1
2, 50, 1
2, 52, 1
2, 53, 1
2, 56, 1
2, 63, 1
2, 66, 1
2, 68, 1
2, 70, 1
2, 73, 1
2, 76, 1
2, 79, 1
2, 82, 1
2, 87, 1
2, 90, 1
2, 93, 1
2, 97, 1
2, 113, 1
2, 119, 1
2, 121, 1
2, 122, 1
2, 129, 1
2, 137, 1
2, 139, 1
2, 141, 1
2, 146, 1
2, 152, 1
2, 159, 1
2, 160, 1
2, 165, 1
2, 171, 1
2, 174, 1
2, 194, 1
2, 195, 1
2, 198, 1
2, 205, 1
2, 211, 1
2, 217, 1
2, 221, 1
2, 223, 1
2, 231, 1
2, 241, 1
2, 248, 1
2, 253, 1
2, 256, 1
2, 257, 1
2, 261, 1
2, 267, 1
2, 270, 1
2, 286, 1
2, 292, 1
2, 293, 1
2, 298, 1
2, 303, 1
2, 306, 1
2, 316, 1
2, 326, 1
2, 327, 1
3, 2, 1
3, 4, 1
3, 5, 1
3, 8, 1
3, 9, 1
3, 10, 1
3, 11, 1
3, 12, 1
3, 14, 1
3, 16, 1
3, 17, 1
3, 19, 1
3, 20, 1
3, 21, 1
3, 22, 1
3, 23, 1
3, 24, 1
3, 25, 1
3, 26, 1
3, 28, 1
3, 29, 1
3, 30, 1
3, 31, 1
3, 33, 1
3, 36, 1
3, 37, 1
3, 38, 1
3, 39, 1
3, 40, 1
3, 42, 1
3, 44, 1
3, 45, 1
3, 46, 1
3, 48, 1
3, 50, 1
3, 51, 1
3, 52, 1
3, 53, 1
3, 55, 1
3, 56, 1
3, 57, 1
3, 58, 1
3, 59, 1
3, 60, 1
3, 62, 1
3, 63, 1
3, 69, 1
3, 70, 1
3, 71, 1
3, 72, 1
3, 73, 1
3, 75, 1
3, 76, 1
3, 77, 1
3, 79, 1
3, 82, 1
3, 83, 1
3, 84, 1
3, 85, 1
3, 86, 1
3, 91, 1
3, 93, 1
3, 95, 1
3, 96, 1
3, 98, 1
3, 101, 1
3, 102, 1
3, 103, 1
3, 106, 1
3, 107, 1
3, 110, 1
3, 111, 1
3, 112, 1
3, 113, 1
3, 115, 1
3, 116, 1
3, 117, 1
3, 118, 1
3, 120, 1
3, 121, 1
3, 122, 1
3, 124, 1
3, 125, 1
3, 126, 1
3, 128, 1
3, 129, 1
3, 130, 1
3, 131, 1
3, 132, 1
3, 134, 1
3, 139, 1
3, 140, 1
3, 141, 1
3, 142, 1
3, 144, 1
3, 145, 1
3, 146, 1
3, 147, 1
3, 148, 1
3, 149, 1
3, 151, 1
3, 152, 1
3, 154, 1
3, 155, 1
3, 156, 1
3, 157, 1
3, 159, 1
3, 160, 1
3, 162, 1
3, 163, 1
3, 164, 1
3, 165, 1
3, 166, 1
3, 167, 1
3, 169, 1
3, 171, 1
3, 172, 1
3, 173, 1
3, 176, 1
3, 177, 1
3, 178, 1
3, 180, 1
3, 182, 1
3, 183, 1
3, 186, 1
3, 187, 1
3, 188, 1
3, 190, 1
3, 191, 1
3, 193, 1
3, 194, 1
3, 195, 1
3, 198, 1
3, 199, 1
3, 200, 1
3, 202, 1
3, 205, 1
3, 206, 1
3, 208, 1
3, 209, 1
3, 210, 1
3, 211, 1
3, 212, 1
3, 214, 1
3, 215, 1
3, 216, 1
3, 217, 1
3, 218, 1
3, 220, 1
3, 221, 1
3, 222, 1
3, 223, 1
3, 224, 1
3, 226, 1
3, 227, 1
3, 228, 1
3, 230, 1
3, 231, 1
3, 234, 1
3, 235, 1
3, 237, 1
3, 239, 1
3, 240, 1
3, 241, 1
3, 242, 1
3, 245, 1
3, 246, 1
3, 248, 1
3, 249, 1
3, 250, 1
3, 251, 1
3, 253, 1
3, 254, 1
3, 255, 1
3, 256, 1
3, 258, 1
3, 259, 1
3, 260, 1
3, 261, 1
3, 262, 1
3, 263, 1
3, 267, 1
3, 270, 1
3, 273, 1
3, 274, 1
3, 276, 1
3, 277, 1
3, 278, 1
3, 279, 1
3, 280, 1
3, 281, 1
3, 282, 1
3, 284, 1
3, 285, 1
3, 286, 1
3, 287, 1
3, 290, 1
3, 292, 1
3, 293, 1
3, 294, 1
3, 295, 1
3, 296, 1
3, 297, 1
3, 301, 1
3, 302, 1
3, 304, 1
3, 305, 1
3, 306, 1
3, 307, 1
3, 309, 1
3, 310, 1
3, 311, 1
3, 314, 1
3, 316, 1
3, 317, 1
3, 319, 1
3, 321, 1
3, 322, 1
3, 323, 1
3, 324, 1
3, 327, 1
3, 328, 1
3, 329, 1
3, 330, 1
3, 331, 1
3, 332, 1
3, 333, 1
3, 334, 1
4, 5, 1
4, 21, 1
4, 28, 1
4, 37, 1
4, 48, 1
4, 50, 1
4, 52, 1
4, 53, 1
4, 56, 1
4, 70, 1
4, 73, 1
4, 76, 1
4, 79, 1
4, 87, 1
4, 90, 1
4, 93, 1
4, 111, 1
4, 113, 1
4, 129, 1
4, 139, 1
4, 141, 1
4, 146, 1
4, 152, 1
4, 159, 1
4, 160, 1
4, 171, 1
4, 194, 1
4, 195, 1
4, 203, 1
4, 205, 1
4, 211, 1
4, 217, 1
4, 221, 1
4, 223, 1
4, 231, 1
4, 241, 1
4, 248, 1
4, 253, 1
4, 256, 1
4, 257, 1
4, 267, 1
4, 270, 1
4, 271, 1
4, 274, 1
4, 286, 1
4, 292, 1
4, 303, 1
4, 306, 1
4, 315, 1
4, 316, 1
4, 326, 1
4, 327, 1
4, 330, 1
5, 0, 1
5, 2, 1
5, 3, 1
5, 4, 1
5, 8, 1
5, 9, 1
5, 10, 1
5, 11, 1
5, 12, 1
5, 13, 1
5, 14, 1
5, 16, 1
5, 18, 1
5, 19, 1
5, 20, 1
5, 22, 1
5, 23, 1
5, 24, 1
5, 25, 1
5, 28, 1
5, 31, 1
5, 33, 1
5, 37, 1
5, 38, 1
5, 39, 1
5, 40, 1
5, 42, 1
5, 44, 1
5, 45, 1
5, 46, 1
5, 48, 1
5, 49, 1
5, 50, 1
5, 51, 1
5, 52, 1
5, 53, 1
5, 55, 1
5, 56, 1
5, 57, 1
5, 58, 1
5, 59, 1
5, 60, 1
5, 61, 1
5, 62, 1
5, 63, 1
5, 64, 1
5, 65, 1
5, 66, 1
5, 67, 1
5, 69, 1
5, 70, 1
5, 71, 1
5, 76, 1
5, 77, 1
5, 78, 1
5, 79, 1
5, 82, 1
5, 85, 1
5, 86, 1
5, 87, 1
5, 89, 1
5, 90, 1
5, 92, 1
5, 93, 1
5, 95, 1
5, 96, 1
5, 97, 1
5, 98, 1
5, 101, 1
5, 102, 1
5, 103, 1
5, 104, 1
5, 105, 1
5, 107, 1
5, 110, 1
5, 112, 1
5, 113, 1
5, 115, 1
5, 116, 1
5, 117, 1
5, 118, 1
5, 119, 1
5, 120, 1
5, 121, 1
5, 122, 1
5, 123, 1
5, 124, 1
5, 125, 1
5, 126, 1
5, 127, 1
5, 128, 1
5, 129, 1
5, 130, 1
5, 131, 1
5, 132, 1
5, 133, 1
5, 134, 1
5, 136, 1
5, 137, 1
5, 139, 1
5, 140, 1
5, 141, 1
5, 142, 1
5, 144, 1
5, 145, 1
5, 146, 1
5, 147, 1
5, 148, 1
5, 149, 1
5, 150, 1
5, 151, 1
5, 152, 1
5, 153, 1
5, 156, 1
5, 157, 1
5, 159, 1
5, 160, 1
5, 161, 1
5, 162, 1
5, 164, 1
5, 165, 1
5, 166, 1
5, 167, 1
5, 169, 1
5, 171, 1
5, 172, 1
5, 173, 1
5, 176, 1
5, 179, 1
5, 183, 1
5, 185, 1
5, 186, 1
5, 187, 1
5, 188, 1
5, 189, 1
5, 190, 1
5, 193, 1
5, 194, 1
5, 195, 1
5, 198, 1
5, 199, 1
5, 200, 1
5, 202, 1
5, 204, 1
5, 205, 1
5, 206, 1
5, 208, 1
5, 209, 1
5, 211, 1
5, 212, 1
5, 214, 1
5, 215, 1
5, 216, 1
5, 217, 1
5, 218, 1
5, 219, 1
5, 220, 1
5, 222, 1
5, 223, 1
5, 226, 1
5, 227, 1
5, 228, 1
5, 230, 1
5, 231, 1
5, 232, 1
5, 233, 1
5, 235, 1
5, 236, 1
5, 237, 1
5, 238, 1
5, 239, 1
5, 240, 1
5, 241, 1
5, 242, 1
5, 243, 1
5, 245, 1
5, 246, 1
5, 247, 1
5, 248, 1
5, 249, 1
5, 250, 1
5, 251, 1
5, 253, 1
5, 254, 1
5, 255, 1
5, 256, 1
5, 257, 1
5, 259, 1
5, 261, 1
5, 262, 1
5, 263, 1
5, 264, 1
5, 267, 1
5, 268, 1
5, 269, 1
5, 270, 1
5, 271, 1
5, 273, 1
5, 274, 1
5, 275, 1
5, 276, 1
5, 277, 1
5, 278, 1
5, 279, 1
5, 280, 1
5, 281, 1
5, 282, 1
5, 283, 1
5, 285, 1
5, 286, 1
5, 287, 1
5, 288, 1
5, 290, 1
5, 291, 1
5, 292, 1
5, 293, 1
5, 294, 1
5, 296, 1
5, 297, 1
5, 298, 1
5, 299, 1
5, 301, 1
5, 302, 1
5, 303, 1
5, 304, 1
5, 305, 1
5, 306, 1
5, 307, 1
5, 308, 1
5, 309, 1
5, 311, 1
5, 312, 1
5, 313, 1
5, 314, 1
5, 316, 1
5, 317, 1
5, 318, 1
5, 320, 1
5, 322, 1
5, 323, 1
5, 324, 1
5, 326, 1
5, 327, 1
5, 328, 1
5, 329, 1
5, 330, 1
5, 331, 1
5, 332, 1
5, 333, 1
5, 334, 1
6, 0, 1
6, 1, 1
6, 2, 1
6, 3, 1
6, 4, 1
6, 5, 1
6, 7, 1
6, 8, 1
6, 9, 1
6, 10, 1
6, 11, 1
6, 12, 1
6, 13, 1
6, 14, 1
6, 16, 1
6, 17, 1
6, 19, 1
6, 20, 1
6, 21, 1
6, 22, 1
6, 23, 1
6, 24, 1
6, 25, 1
6, 29, 1
6, 30, 1
6, 31, 1
6, 33, 1
6, 36, 1
6, 37, 1
6, 38, 1
6, 39, 1
6, 40, 1
6, 42, 1
6, 44, 1
6, 45, 1
6, 48, 1
6, 49, 1
6, 50, 1
6, 51, 1
6, 52, 1
6, 53, 1
6, 55, 1
6, 56, 1
6, 57, 1
6, 58, 1
6, 59, 1
6, 60, 1
6, 61, 1
6, 62, 1
6, 63, 1
6, 64, 1
6, 65, 1
6, 69, 1
6, 70, 1
6, 71, 1
6, 73, 1
6, 75, 1
6, 77, 1
6, 79, 1
6, 80, 1
6, 86, 1
6, 87, 1
6, 90, 1
6, 93, 1
6, 95, 1
6, 96, 1
6, 97, 1
6, 98, 1
6, 101, 1
6, 102, 1
6, 107, 1
6, 109, 1
6, 110, 1
6, 113, 1
6, 115, 1
6, 116, 1
6, 117, 1
6, 118, 1
6, 119, 1
6, 120, 1
6, 121, 1
6, 122, 1
6, 123, 1
6, 124, 1
6, 125, 1
6, 126, 1
6, 128, 1
6, 129, 1
6, 130, 1
6, 131, 1
6, 132, 1
6, 134, 1
6, 136, 1
6, 137, 1
