355, 36900
0, 8, 1
0, 12, 1
0, 14, 1
0, 17, 1
0, 24, 1
0, 40, 1
0, 44, 1
0, 53, 1
0, 54, 1
0, 62, 1
0, 64, 1
0, 67, 1
0, 73, 1
0, 74, 1
0, 77, 1
0, 84, 1
0, 96, 1
0, 97, 1
0, 99, 1
0, 105, 1
0, 125, 1
0, 129, 1
0, 134, 1
0, 140, 1
0, 143, 1
0, 150, 1
0, 159, 1
0, 160, 1
0, 167, 1
0, 170, 1
0, 172, 1
0, 178, 1
0, 180, 1
0, 185, 1
0, 187, 1
0, 194, 1
0, 200, 1
0, 205, 1
0, 206, 1
0, 209, 1
0, 211, 1
0, 212, 1
0, 213, 1
0, 214, 1
0, 218, 1
0, 230, 1
0, 233, 1
0, 234, 1
0, 240, 1
0, 242, 1
0, 243, 1
0, 250, 1
0, 253, 1
0, 255, 1
0, 256, 1
0, 258, 1
0, 259, 1
0, 264, 1
0, 265, 1
0, 268, 1
0, 275, 1
0, 283, 1
0, 286, 1
0, 290, 1
0, 300, 1
0, 303, 1
0, 320, 1
0, 329, 1
1, 0, 1
1, 4, 1
1, 5, 1
1, 9, 1
1, 11, 1
1, 12, 1
1, 16, 1
1, 17, 1
1, 18, 1
1, 19, 1
1, 20, 1
1, 22, 1
1, 24, 1
1, 26, 1
1, 28, 1
1, 30, 1
1, 31, 1
1, 32, 1
1, 34, 1
1, 35, 1
1, 36, 1
1, 37, 1
1, 38, 1
1, 39, 1
1, 40, 1
1, 41, 1
1, 42, 1
1, 44, 1
1, 45, 1
1, 47, 1
1, 48, 1
1, 49, 1
1, 50, 1
1, 51, 1
1, 52, 1
1, 56, 1
1, 57, 1
1, 58, 1
1, 60, 1
1, 61, 1
1, 62, 1
1, 63, 1
1, 65, 1
1, 66, 1
1, 67, 1
1, 68, 1
1, 70, 1
1, 71, 1
1, 72, 1
1, 73, 1
1, 74, 1
1, 75, 1
1, 77, 1
1, 78, 1
1, 82, 1
1, 83, 1
1, 84, 1
1, 85, 1
1, 86, 1
1, 87, 1
1, 88, 1
1, 90, 1
1, 91, 1
1, 92, 1
1, 96, 1
1, 97, 1
1, 98, 1
1, 99, 1
1, 100, 1
1, 101, 1
1, 103, 1
1, 104, 1
1, 105, 1
1, 106, 1
1, 107, 1
1, 108, 1
1, 109, 1
1, 111, 1
1, 112, 1
1, 115, 1
1, 116, 1
1, 117, 1
1, 118, 1
1, 119, 1
1, 120, 1
1, 124, 1
1, 125, 1
1, 127, 1
1, 128, 1
1, 129, 1
1, 131, 1
1, 132, 1
1, 133, 1
1, 135, 1
1, 136, 1
1, 137, 1
1, 139, 1
1, 140, 1
1, 142, 1
1, 143, 1
1, 144, 1
1, 145, 1
1, 146, 1
1, 148, 1
1, 150, 1
1, 151, 1
1, 152, 1
1, 153, 1
1, 155, 1
1, 156, 1
1, 157, 1
1, 159, 1
1, 160, 1
1, 161, 1
1, 162, 1
1, 163, 1
1, 164, 1
1, 165, 1
1, 166, 1
1, 168, 1
1, 169, 1
1, 170, 1
1, 172, 1
1, 173, 1
1, 176, 1
1, 178, 1
1, 179, 1
1, 181, 1
1, 184, 1
1, 186, 1
1, 187, 1
1, 188, 1
1, 190, 1
1, 193, 1
1, 194, 1
1, 195, 1
1, 196, 1
1, 198, 1
1, 200, 1
1, 201, 1
1, 202, 1
1, 204, 1
1, 205, 1
1, 206, 1
1, 207, 1
1, 208, 1
1, 210, 1
1, 211, 1
1, 212, 1
1, 215, 1
1, 216, 1
1, 217, 1
1, 218, 1
1, 221, 1
1, 222, 1
1, 224, 1
1, 226, 1
1, 227, 1
1, 228, 1
1, 229, 1
1, 230, 1
1, 231, 1
1, 233, 1
1, 234, 1
1, 235, 1
1, 237, 1
1, 238, 1
1, 239, 1
1, 240, 1
1, 241, 1
1, 242, 1
1, 244, 1
1, 245, 1
1, 247, 1
1, 248, 1
1, 250, 1
1, 251, 1
1, 253, 1
1, 256, 1
1, 258, 1
1, 259, 1
1, 260, 1
1, 261, 1
1, 262, 1
1, 264, 1
1, 265, 1
1, 266, 1
1, 267, 1
1, 270, 1
1, 273, 1
1, 274, 1
1, 275, 1
1, 276, 1
1, 277, 1
1, 279, 1
1, 280, 1
1, 283, 1
1, 284, 1
1, 285, 1
1, 286, 1
1, 287, 1
1, 288, 1
1, 290, 1
1, 291, 1
1, 292, 1
1, 293, 1
1, 295, 1
1, 296, 1
1, 299, 1
1, 300, 1
1, 301, 1
1, 303, 1
1, 304, 1
1, 305, 1
1, 306, 1
1, 307, 1
1, 309, 1
1, 311, 1
1, 313, 1
1, 315, 1
1, 318, 1
1, 319, 1
1, 320, 1
1, 321, 1
1, 322, 1
1, 325, 1
1, 327, 1
2, 0, 1
2, 8, 1
2, 12, 1
2, 13, 1
2, 17, 1
2, 24, 1
2, 34, 1
2, 37, 1
2, 40, 1
2, 44, 1
2, 62, 1
2, 67, 1
2, 73, 1
2, 74, 1
2, 77, 1
2, 84, 1
2, 89, 1
2, 93, 1
2, 96, 1
2, 97, 1
2, 99, 1
2, 105, 1
2, 115, 1
2, 125, 1
2, 127, 1
2, 129, 1
2, 140, 1
2, 150, 1
2, 158, 1
2, 159, 1
2, 160, 1
2, 167, 1
2, 170, 1
2, 172, 1
2, 178, 1
2, 185, 1
2, 187, 1
2, 194, 1
2, 200, 1
2, 205, 1
2, 206, 1
2, 211, 1
2, 212, 1
